date,regionnavn,tests,cases,pospct,rm
2020-03-04,Hovedstaden,32,2,0.0625,0.11133660616743324
2020-03-05,Hovedstaden,36,10,0.2777777777777778,0.12637420015239564
2020-03-06,Hovedstaden,49,0,0,0.17998937478667856
2020-03-07,Hovedstaden,48,8,0.16666666666666666,0.21897701285265764
2020-03-08,Hovedstaden,76,12,0.15789473684210525,0.2549464006077597
2020-03-09,Hovedstaden,157,71,0.45222929936305734,0.23185372267637208
2020-03-10,Hovedstaden,279,116,0.4157706093189964,0.24419940168871773
2020-03-11,Hovedstaden,280,88,0.3142857142857143,0.23092312343548096
2020-03-12,Hovedstaden,155,18,0.11612903225806452,0.22144888839733617
2020-03-13,Hovedstaden,243,21,0.08641975308641975,0.17539757846977508
2020-03-14,Hovedstaden,217,16,0.07373271889400922,0.13461879841508564
2020-03-15,Hovedstaden,273,25,0.09157509157509157,0.10434161291401954
2020-03-16,Hovedstaden,385,50,0.12987012987012986,0.10243065024543627
2020-03-17,Hovedstaden,376,49,0.13031914893617022,0.10948532396677665
2020-03-18,Hovedstaden,469,48,0.1023454157782516,0.11688929814143133
2020-03-19,Hovedstaden,545,56,0.10275229357798166,0.1285596174496573
2020-03-20,Hovedstaden,405,55,0.13580246913580246,0.1355296059864661
2020-03-21,Hovedstaden,223,28,0.12556053811659193,0.14429970536123973
2020-03-22,Hovedstaden,202,35,0.17326732673267325,0.15131497198687183
2020-03-23,Hovedstaden,403,72,0.17866004962779156,0.159711001605366
2020-03-24,Hovedstaden,386,74,0.19170984455958548,0.15756666018709722
2020-03-25,Hovedstaden,482,73,0.15145228215767634,0.1639412748945722
2020-03-26,Hovedstaden,551,89,0.16152450090744103,0.15574905503411848
2020-03-27,Hovedstaden,1010,122,0.12079207920792079,0.14664303591221212
2020-03-28,Hovedstaden,711,121,0.170182841068917,0.13379756253864636
2020-03-29,Hovedstaden,716,83,0.11592178770949721,0.1263258281794154
2020-03-30,Hovedstaden,1401,161,0.11491791577444682,0.11596450166563879
2020-03-31,Hovedstaden,1228,125,0.10179153094462541,0.11167722464196779
2020-04-01,Hovedstaden,1412,140,0.09915014164305949,0.10119655903471991
2020-04-02,Hovedstaden,2090,186,0.08899521531100478,0.09754279485352006
2020-04-03,Hovedstaden,2842,258,0.09078114004222379,0.09280609349850025
